company_name,country,source
"GAC HONDA AUTOMOBILE SALES CO., LTD.",CN,orbis
ZAMYAD COMPANY PUBLIC JOINT STOCK,IR,orbis
CHINA YONGDA AUTOMOBILES SERVICES HOLDINGS LIMITED,KY,orbis
HYUNDAI TRANSYS INC,KR,orbis
"GREAT WALL AUTO CO., LTD. CHONGQING PURCHASING BRANCH",CN,orbis
D'IETEREN GROUP SA/NV,BE,orbis
"WUHAN YIBO TECHNOLOGY DEVELOPMENT CO., LTD.",CN,orbis
"DAIHATSU MOTOR CO.,LTD.",JP,orbis
"TENNECO (DALIAN) EXHAUST SYSTEMS CO., LTD. ZHENGZHOU BRANCH",CN,orbis
"CHINA FIRST AUTOMOBILE CO., LTD.",CN,orbis
HYUNDAI MOTOR MANUFACTURING CZECH S.R.O.,CZ,orbis
KIA SLOVAKIA S. R. O.,SK,orbis
KNORR-BREMSE AG,DE,orbis
"ZHONGSHAN NOMI AUTOMOTIVE PRODUCTS TECHNOLOGY CO., LTD.",CN,orbis
"FAW JIEFANG GROUP CO.,LTD.",CN,orbis
"DONGFENG HONDA AUTOMOBILE CO., LTD.",CN,orbis
HYUNDAI MOTOR INDIA LIMITED,IN,orbis
"SHENZHEN BYD AUTOMOBILE INDUSTRY CO., LTD.",CN,orbis
VOLKSWAGEN GROUP ITALIA SOCIETA PER AZIONI (OPPURE - IN FORMA ABBREVIATA - VOLKSWAGEN GROUP ITALIA S.P.A.),IT,orbis
NISSAN AUTOMOTIVE EUROPE,FR,orbis
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,AU,orbis
"FAW JIEFANG AUTOMOTIVE CO., LTD.",CN,orbis
PARS KHODRO COMPANY PUBLIC JOINT STOCK,IR,orbis
IVECO S.P.A.,IT,orbis
IRAN KHODRO DIESEL PUBLIC JOINT STOCK COMPANY,IR,orbis
RUSH ENTERPRISES INC,US,orbis
"WUHAN TIENIUJI TRADING CO., LTD.",CN,orbis
"HOTAI MOTOR CO.,LTD.",TW,orbis
NINGBO JOYSON ELECTRONIC CORP.,CN,orbis
TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,IN,orbis
"SAIC MOTOR INTERNATIONAL CO., LTD.",CN,orbis
HORSE POWERTRAIN SOLUTIONS SL.,ES,orbis
MERCEDES-BENZ ESPANA SAU,ES,orbis
"DONGFENG HONDA AUTOMOBILE SALES CO., LTD.",CN,orbis
LINAMAR CORPORATION,CA,orbis
RENAULT ESPANA SA,ES,orbis
BMW (UK) LIMITED,GB,orbis
KAWASAKI HEAVY INDUSTRIES LIMITED,AU,orbis
"WUHAN FLEX INDUSTRIAL TECHNOLOGY CO., LTD.",CN,orbis
"GAC TRUMPCHI CAR SALES CO., LTD.",CN,orbis
TOYODA GOSEI CO LTD,JP,orbis
"NIO (ANHUI) CO., LTD.",CN,orbis
DAF TRUCKS N.V.,NL,orbis
EAGERS AUTOMOTIVE LIMITED,AU,orbis
FERRARI N.V.,NL,orbis
"GAC MOTOR CO., LTD.",CN,orbis
CHONGQING DADUKOU DISTRICT LIXIN AUTO PARTS FACTORY,CN,orbis
"WUHU JIETU AUTOMOBILE SALES CO., LTD.",CN,orbis
RENAULT TRUCKS,FR,orbis
"CHINA AEROSPACE SANJIANG GROUP CO., LTD.",CN,orbis
ISUZU MOTORS (THAILAND) CO LTD,TH,orbis
FERRARI-SOCIETA'PER AZIONI ESERCIZIO FABBRICHE AUTOMOBILI E CORSE O SEMPLICEMENTE: FERRARI S.P.A.,IT,orbis
"CHANGAN FORD AUTOMOBILE CO., LTD.",CN,orbis
"BEIQI FOTON MOTOR CO., LTD.",CN,orbis
CHONGQING YONGCHUAN GREAT WALL AUTOMOTIVE PARTS COMPANY LIMITED,CN,orbis
"WUHAN QUANTA ELECTROMECHANICAL PRODUCTS CO., LTD.",CN,orbis
AUTO1 GROUP SE,DE,orbis
"PORSCHE (CHINA) AUTOMOBILE SALES CO., LTD.",CN,orbis
"CHANGZHOU BYD AUTO CO., LTD.",CN,orbis
ARNOLD CLARK AUTOMOBILES LIMITED,GB,orbis
"GREAT WALL MOTOR CO., LTD. XUSHUI BRANCH",CN,orbis
"TOYOTA MOTOR EAST JAPAN , INC.",JP,orbis
MOTUS HOLDINGS LIMITED,ZA,orbis
"SINOTRUK GROUP INTERNATIONAL CO., LTD",CN,orbis
"BOSCH AUTOMOTIVE PRODUCTS (SUZHOU) CO., LTD.",CN,orbis
VOLVO CAR BELGIUM,BE,orbis
"KOITO MANUFACTURING CO., LTD.",JP,orbis
SINOTRUK JINAN TRUCK COMPANY LIMITED,CN,orbis
"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC.",US,orbis
"FAW HONGQI AUTOMOBILE SALES CO., LTD.",CN,orbis
"CAMPING WORLD HOLDINGS, INC.",US,orbis
MERCEDES-BENZ UK LIMITED,GB,orbis
VOLKSWAGEN POZNAN SP. Z O.O.,PL,orbis
"BYD AUTO CO., LTD. CHANGZHOU BRANCH",CN,orbis
"HL MANDO CO.,LTD.",KR,orbis
VERTU MOTORS PLC,GB,orbis
VOLKSWAGEN GROUP POLSKA SP. Z O.O.,PL,orbis
"ANHUI CHERY AUTOMOBILE SALES CO., LTD.",CN,orbis
"JINAN BYD AUTO CO., LTD.",CN,orbis
"FAW-VOLKSWAGEN AUTOMOTIVE CO., LTD. CHENGDU BRANCH",CN,orbis
YAZAKI CORPORATION,JP,orbis
AUTOMOBILE-DACIA SA,RO,orbis
"SAIC GENERAL MOTORS CO., LTD. WUHAN BRANCH",CN,orbis
"ANHUI JIANGHUAI AUTOMOBILE GROUP CORP., LTD.",CN,orbis
"CHINA AUTOMOBILE TRADING CO., LTD.",CN,orbis
"BEIJING HAINACHUAN AUTOMOTIVE PARTS CO., LTD.",CN,orbis
"SINOMACH AUTOMOBILE CO.,LTD.",CN,orbis
XPENG INC.,KY,orbis
HONDA MOTOR EUROPE LIMITED,GB,orbis
ASHOK LEYLAND LIMITED,IN,orbis
TOYOTA MOTOR MANUFACTURING FRANCE,FR,orbis
"UNITED AUTOMOTIVE ELECTRONIC SYSTEMS CO., LTD.",CN,orbis
"HUBEI ZHONGXIANG FUTONG AUTO TRADE CO., LTD.",CN,orbis
HYUNDAI WIA CORPORATION,KR,orbis
"JINGZHOU OPEL AUTO PARTS CO., LTD.",CN,orbis
"SHENZHEN DENZA NEW ENERGY AUTOMOTIVE CO., LTD.",CN,orbis
"CHANGAN FORD AUTOMOBILE CO., LTD. SALES BRANCH",CN,orbis
"WANXIANG GROUP CO., LTD.",CN,orbis
"FUZHOU DANLAW XICHENG ELECTRONIC TECHNOLOGY CO., LTD.",CN,orbis
FORD ESPANA SL,ES,orbis
LOOKERS LIMITED,GB,orbis
TOYOTA CENTRAL EUROPE SP. Z O.O.,PL,orbis
NHK SPRING CO LTD,JP,orbis
"WUHAN GAODIAN ELECTRIC POWER EQUIPMENT CO., LTD.",CN,orbis
MAHLE THERMAL AND FLUID SYSTEMS GMBH & CO. KG,DE,orbis
"HAOCHEYIGOU (HUBEI) AUTOMOBILE SERVICE CO., LTD.",CN,orbis
"LYNK & CO AUTOMOBILE SALES CO., LTD.",CN,orbis
ASTARA MOBILITY SA,ES,orbis
SAIC MOTOR PASSENGER VEHICLE COMPANY ZHENGZHOU BRANCH,CN,orbis
"SHAANXI HEAVY DUTY AUTOMOBILE CO., LTD.",CN,orbis
"JAGUAR LAND ROVER (CHINA) INVESTMENT CO., LTD.",CN,orbis
TEREX CORPORATION,US,orbis
JIANGLING MOTORS CORPORATION LIMITED,CN,orbis
"YUTONG BUS CO.,LTD.",CN,orbis
"DEEP BLUE AUTOMOTIVE TECHNOLOGY CO., LTD.",CN,orbis
"NIO CO., LTD.",CN,orbis
MITSUBISHI FUSO TRUCK AND BUS CORPORATION,JP,orbis
SAIC MOTOR PASSENGER VEHICLE COMPANY FUJIAN BRANCH,CN,orbis
"ZHAOQING XIAOPENG NEW ENERGY INVESTMENT CO., LTD.",CN,orbis
